x_mm,region,flow_radius_mm,flow_area_cm2,area_over_body,area_over_throat,equivalent_radius_mm,station
331.0000,ANNULAR SUBSONIC DIFFUSER,68.88656,102.77920,0.285751,0.978619,57.19758,
332.0000,ANNULAR SUBSONIC DIFFUSER,68.70686,103.22095,0.286979,0.982826,57.32037,
333.0000,ANNULAR SUBSONIC DIFFUSER,68.52882,103.66363,0.288210,0.987041,57.44315,
334.0000,ANNULAR SUBSONIC DIFFUSER,68.35263,104.10727,0.289443,0.991265,57.56594,
335.0000,ANNULAR SUBSONIC DIFFUSER,68.17849,104.55185,0.290679,0.995498,57.68872,
336.0000,ANNULAR SUBSONIC DIFFUSER,68.00657,104.99738,0.291918,0.999740,57.81151,
337.0000,ANNULAR SUBSONIC DIFFUSER,67.83704,105.44386,0.293159,1.003991,57.93429,
338.0000,ANNULAR SUBSONIC DIFFUSER,67.67009,105.89128,0.294403,1.008251,58.05708,
339.0000,ANNULAR SUBSONIC DIFFUSER,67.50587,106.33965,0.295650,1.012521,58.17986,
340.0000,ANNULAR SUBSONIC DIFFUSER,67.34456,106.78897,0.296899,1.016799,58.30265,
341.0000,ANNULAR SUBSONIC DIFFUSER,67.18632,107.23924,0.298151,1.021086,58.42543,
342.0000,ANNULAR SUBSONIC DIFFUSER,67.03130,107.69045,0.299405,1.025382,58.54821,
343.0000,ANNULAR SUBSONIC DIFFUSER,66.87965,108.14261,0.300663,1.029688,58.67100,
344.0000,ANNULAR SUBSONIC DIFFUSER,66.73153,108.59572,0.301922,1.034002,58.79378,
345.0000,ANNULAR SUBSONIC DIFFUSER,66.58707,109.04977,0.303185,1.038325,58.91657,
346.0000,ANNULAR SUBSONIC DIFFUSER,66.44642,109.50477,0.304450,1.042657,59.03935,
347.0000,ANNULAR SUBSONIC DIFFUSER,66.30969,109.96072,0.305717,1.046999,59.16214,
348.0000,ANNULAR SUBSONIC DIFFUSER,66.17703,110.41762,0.306988,1.051349,59.28492,
349.0000,ANNULAR SUBSONIC DIFFUSER,66.04854,110.87546,0.308261,1.055709,59.40771,
350.0000,ANNULAR SUBSONIC DIFFUSER,65.92435,111.33425,0.309536,1.060077,59.53049,
351.0000,ANNULAR SUBSONIC DIFFUSER,65.80456,111.79399,0.310814,1.064454,59.65328,
352.0000,ANNULAR SUBSONIC DIFFUSER,65.68928,112.25468,0.312095,1.068841,59.77606,
353.0000,ANNULAR SUBSONIC DIFFUSER,65.57860,112.71631,0.313379,1.073236,59.89885,
354.0000,ANNULAR SUBSONIC DIFFUSER,65.47261,113.17889,0.314665,1.077641,60.02163,
355.0000,ANNULAR SUBSONIC DIFFUSER,65.37140,113.64242,0.315953,1.082054,60.14441,
356.0000,ANNULAR SUBSONIC DIFFUSER,65.27504,114.10689,0.317245,1.086477,60.26720,
357.0000,ANNULAR SUBSONIC DIFFUSER,65.18360,114.57232,0.318539,1.090908,60.38998,
358.0000,ANNULAR SUBSONIC DIFFUSER,65.09715,115.03868,0.319835,1.095349,60.51277,
359.0000,ANNULAR SUBSONIC DIFFUSER,65.01575,115.50600,0.321135,1.099799,60.63555,
360.0000,ANNULAR SUBSONIC DIFFUSER,64.93944,115.97427,0.322437,1.104257,60.75834,
361.0000,ANNULAR SUBSONIC DIFFUSER,64.86827,116.44348,0.323741,1.108725,60.88112,
362.0000,ANNULAR SUBSONIC DIFFUSER,64.80227,116.91363,0.325048,1.113201,61.00391,
363.0000,ANNULAR SUBSONIC DIFFUSER,64.74148,117.38474,0.326358,1.117687,61.12669,
364.0000,ANNULAR SUBSONIC DIFFUSER,64.68592,117.85679,0.327670,1.122182,61.24948,
365.0000,ANNULAR SUBSONIC DIFFUSER,64.63560,118.32979,0.328985,1.126685,61.37226,
366.0000,ANNULAR SUBSONIC DIFFUSER,64.59053,118.80374,0.330303,1.131198,61.49504,
367.0000,ANNULAR SUBSONIC DIFFUSER,64.55072,119.27863,0.331623,1.135720,61.61783,
368.0000,ANNULAR SUBSONIC DIFFUSER,64.51616,119.75448,0.332946,1.140251,61.74061,
369.0000,ANNULAR SUBSONIC DIFFUSER,64.48683,120.23126,0.334272,1.144790,61.86340,
370.0000,ANNULAR SUBSONIC DIFFUSER,64.46273,120.70900,0.335600,1.149339,61.98618,
371.0000,ANNULAR SUBSONIC DIFFUSER,64.44383,121.18768,0.336931,1.153897,62.10897,
372.0000,ANNULAR SUBSONIC DIFFUSER,64.43009,121.66732,0.338265,1.158464,62.23175,
373.0000,ANNULAR SUBSONIC DIFFUSER,64.42148,122.14789,0.339601,1.163040,62.35454,
374.0000,ANNULAR SUBSONIC DIFFUSER,64.41795,122.62942,0.340939,1.167625,62.47732,
375.0000,ANNULAR SUBSONIC DIFFUSER,64.41946,123.11189,0.342281,1.172219,62.60011,
376.0000,ANNULAR SUBSONIC DIFFUSER,64.42595,123.59531,0.343625,1.176821,62.72289,
377.0000,ANNULAR SUBSONIC DIFFUSER,64.43735,124.07968,0.344972,1.181433,62.84567,
378.0000,ANNULAR SUBSONIC DIFFUSER,64.45361,124.56499,0.346321,1.186054,62.96846,
379.0000,ANNULAR SUBSONIC DIFFUSER,64.47465,125.05125,0.347673,1.190684,63.09124,
380.0000,ANNULAR SUBSONIC DIFFUSER,64.50039,125.53846,0.349027,1.195323,63.21403,
381.0000,ANNULAR SUBSONIC DIFFUSER,64.53075,126.02662,0.350384,1.199971,63.33681,
382.0000,ANNULAR SUBSONIC DIFFUSER,64.56564,126.51572,0.351744,1.204628,63.45960,
383.0000,ANNULAR SUBSONIC DIFFUSER,64.60498,127.00577,0.353107,1.209294,63.58238,
384.0000,ANNULAR SUBSONIC DIFFUSER,64.64866,127.49677,0.354472,1.213970,63.70517,
385.0000,ANNULAR SUBSONIC DIFFUSER,64.69659,127.98871,0.355840,1.218654,63.82795,
386.0000,ANNULAR SUBSONIC DIFFUSER,64.74865,128.48161,0.357210,1.223347,63.95074,
387.0000,ANNULAR SUBSONIC DIFFUSER,64.80476,128.97545,0.358583,1.228049,64.07352,
388.0000,ANNULAR SUBSONIC DIFFUSER,64.86478,129.47023,0.359959,1.232760,64.19630,
389.0000,ANNULAR SUBSONIC DIFFUSER,64.92862,129.96597,0.361337,1.237480,64.31909,
390.0000,ANNULAR SUBSONIC DIFFUSER,64.99615,130.46265,0.362718,1.242209,64.44187,
391.0000,ANNULAR SUBSONIC DIFFUSER,65.06725,130.96028,0.364101,1.246948,64.56466,
392.0000,ANNULAR SUBSONIC DIFFUSER,65.14181,131.45885,0.365487,1.251695,64.68744,
393.0000,ANNULAR SUBSONIC DIFFUSER,65.21970,131.95838,0.366876,1.256451,64.81023,
394.0000,ANNULAR SUBSONIC DIFFUSER,65.30079,132.45885,0.368268,1.261216,64.93301,
395.0000,ANNULAR SUBSONIC DIFFUSER,65.38496,132.96026,0.369662,1.265991,65.05580,
396.0000,ANNULAR SUBSONIC DIFFUSER,65.47209,133.46263,0.371058,1.270774,65.17858,
397.0000,ANNULAR SUBSONIC DIFFUSER,65.56204,133.96594,0.372458,1.275566,65.30137,
398.0000,ANNULAR SUBSONIC DIFFUSER,65.65468,134.47020,0.373860,1.280368,65.42415,
399.0000,ANNULAR SUBSONIC DIFFUSER,65.74990,134.97541,0.375264,1.285178,65.54693,
400.0000,ANNULAR SUBSONIC DIFFUSER,65.84755,135.48156,0.376672,1.289997,65.66972,
401.0000,ANNULAR SUBSONIC DIFFUSER,65.94751,135.98866,0.378081,1.294826,65.79250,
402.0000,ANNULAR SUBSONIC DIFFUSER,66.04965,136.49671,0.379494,1.299663,65.91529,
403.0000,ANNULAR SUBSONIC DIFFUSER,66.15384,137.00571,0.380909,1.304510,66.03807,
404.0000,ANNULAR SUBSONIC DIFFUSER,66.25997,137.51565,0.382327,1.309365,66.16086,
405.0000,ANNULAR SUBSONIC DIFFUSER,66.36790,138.02654,0.383747,1.314229,66.28364,
406.0000,ANNULAR SUBSONIC DIFFUSER,66.47751,138.53838,0.385170,1.319103,66.40643,
407.0000,ANNULAR SUBSONIC DIFFUSER,66.58868,139.05116,0.386596,1.323985,66.52921,
408.0000,ANNULAR SUBSONIC DIFFUSER,66.70130,139.56489,0.388024,1.328877,66.65200,
409.0000,ANNULAR SUBSONIC DIFFUSER,66.81525,140.07957,0.389455,1.333778,66.77478,
410.0000,ANNULAR SUBSONIC DIFFUSER,66.93041,140.59520,0.390889,1.338687,66.89757,
411.0000,ANNULAR SUBSONIC DIFFUSER,67.04668,141.11177,0.392325,1.343606,67.02035,
412.0000,ANNULAR SUBSONIC DIFFUSER,67.16395,141.62929,0.393764,1.348533,67.14313,
413.0000,ANNULAR SUBSONIC DIFFUSER,67.28212,142.14776,0.395205,1.353470,67.26592,
414.0000,ANNULAR SUBSONIC DIFFUSER,67.40109,142.66718,0.396649,1.358416,67.38870,
415.0000,ANNULAR SUBSONIC DIFFUSER,67.52076,143.18754,0.398096,1.363370,67.51149,
416.0000,ANNULAR SUBSONIC DIFFUSER,67.64106,143.70885,0.399545,1.368334,67.63427,
