fuel_key,minimum_cycle_period_s,burn_duration_s,ignition_pressure_ratio_max,target_equivalence_ratio,feasible,completed_cycles,mean_net_thrust_n,peak_net_thrust_n,mean_fuel_mass_flow_kg_per_s,specific_impulse_s,peak_chamber_pressure_pa,peak_chamber_pressure_ratio,peak_chamber_temperature_k,relative_mass_balance_residual,relative_energy_balance_residual
jet_a_reference,0.01,0.005,1.08,1.1,True,15,101.5927517713684,734.0738872948028,0.04225814828559347,245.1498238923642,118347.58006647386,1.147349452256995,2600.0,1.0180348082944046e-14,-9.702782300181312e-15
jet_a_reference,0.01,0.006,1.01,0.7,True,16,34.78636833249669,258.8668218039782,0.0239775403706484,147.93937672894685,107102.01326776628,1.0383265647626378,1771.3974779550463,-7.163400584663728e-15,-6.382279024100133e-14
jet_a_reference,0.01,0.006,1.01,0.8,True,15,47.441140625529854,352.9628759231352,0.028540492742644155,169.5012790922711,109262.07438857513,1.059267803632158,2142.7617845845534,-2.214279894502253e-15,-4.289174949859629e-15
jet_a_reference,0.01,0.006,1.01,0.9,True,15,66.62006183923617,449.6146499424884,0.032106203947249126,211.59012531869837,111514.74000431382,1.0811068193423585,2556.5498262931405,7.636602205742726e-16,9.923779041224692e-14
jet_a_reference,0.01,0.006,1.01,1.0,True,15,82.33395849521622,555.4686785298521,0.036387283403774964,230.7324551398463,114021.75756380912,1.1054117119482736,2600.0,6.066396597884682e-15,-9.61104846281512e-14
jet_a_reference,0.01,0.006,1.01,1.1,True,15,83.19673049519078,557.5899017250441,0.03995762966659078,212.31753650200855,114072.42516777772,1.1059029213809286,2600.0,1.0443280159984298e-15,3.69298302586794e-14
jet_a_reference,0.01,0.006,1.02,0.7,True,16,34.70336072059506,258.8668218039782,0.02398958265027314,147.51227683908567,107102.01326776628,1.0383265647626378,1771.397477950905,-9.63911970310516e-15,-6.225621072414421e-14
jet_a_reference,0.01,0.006,1.02,0.8,True,15,47.44299989765438,352.9628759231352,0.02854013195374577,169.5100648670929,109262.07438857513,1.059267803632158,2142.7617845829614,-1.6684168166308524e-15,-1.8400651068254172e-14
jet_a_reference,0.01,0.006,1.02,0.9,True,15,66.62006461256357,449.6146499425548,0.032106203335575886,211.59013815810837,111514.74000431536,1.0811068193423734,2556.5498262931405,1.5439749646207713e-15,9.354314274140895e-14
jet_a_reference,0.01,0.006,1.02,1.0,True,15,82.33356290451528,555.4686785298521,0.03638737961416498,230.73073647020573,114021.75756380912,1.1054117119482736,2600.0,6.023428134086179e-15,-9.982658517282977e-14
jet_a_reference,0.01,0.006,1.02,1.1,True,15,83.19604021465474,557.5899017250441,0.03995781395779184,212.31479567941662,114072.42516777772,1.1059029213809286,2600.0,2.3255272987033215e-18,2.8468167282746807e-14
jet_a_reference,0.01,0.006,1.03,0.7,True,16,34.62142648911501,258.8668218039782,0.024001621927719135,147.09018421210095,107102.01326776628,1.0383265647626378,1771.3974779361324,-8.63972249245298e-15,-3.9946127952162086e-14
jet_a_reference,0.01,0.006,1.03,0.8,True,15,47.444543489502465,352.9628759231352,0.02853983235869436,169.5173594768633,109262.07438857513,1.059267803632158,2142.761784581282,-2.933458006838457e-15,1.7029249860287754e-15
jet_a_reference,0.01,0.006,1.03,0.9,True,15,66.6200673766053,449.6146499426257,0.03210620272584882,211.59015095520104,111514.7400043171,1.0811068193423903,2556.5498262931405,1.2932965677451947e-15,9.999092676875184e-14
jet_a_reference,0.01,0.006,1.03,1.0,True,15,82.33306998313338,555.4686785298521,0.03638749951737267,230.72859481856895,114021.75756380912,1.1054117119482736,2600.0,6.3900577525505395e-15,-9.140328981773832e-14
jet_a_reference,0.01,0.006,1.03,1.1,True,15,83.19548978166267,557.5899017250441,0.03995796094043357,212.31261000396898,114072.42516777772,1.1059029213809286,2600.0,-3.4878439102098596e-16,3.240057814595343e-14
jet_a_reference,0.01,0.006,1.05,0.7,True,16,34.62142648911501,258.8668218039782,0.024001621927719135,147.09018421210095,107102.01326776628,1.0383265647626378,1771.3974779361324,-8.63972249245298e-15,-3.9946127952162086e-14
jet_a_reference,0.01,0.006,1.05,0.8,True,15,47.44546712164433,352.9628759231352,0.02853965306381414,169.52172455661295,109262.07438857513,1.059267803632158,2142.761784580062,-1.5550521956776403e-15,8.076086961495434e-16
jet_a_reference,0.01,0.006,1.05,0.9,True,15,66.62007013139858,449.6146499426628,0.03210620211806044,211.59016371014386,111514.7400043179,1.0811068193423978,2556.5498262931405,4.1898779354816997e-16,1.002077999652369e-13
jet_a_reference,0.01,0.006,1.05,1.0,True,15,82.33228491320854,555.4686785298521,0.03638769053464062,230.72518355511517,114021.75756380912,1.1054117119482736,2600.0,5.90440164640011e-15,-9.944108036022568e-14
jet_a_reference,0.01,0.006,1.05,1.1,True,15,83.19453033872419,557.5899017250441,0.039958217200730124,212.30879994298414,114072.42516777772,1.1059029213809286,2600.0,9.089833639765995e-16,3.0087093954853396e-14
jet_a_reference,0.01,0.006,1.08,0.7,True,16,34.62142648911501,258.8668218039782,0.024001621927719135,147.09018421210095,107102.01326776628,1.0383265647626378,1771.3974779361324,-8.63972249245298e-15,-3.9946127952162086e-14
jet_a_reference,0.01,0.006,1.08,0.8,True,15,47.44546712164433,352.9628759231352,0.02853965306381414,169.52172455661295,109262.07438857513,1.059267803632158,2142.761784580062,-1.5550521956776403e-15,8.076086961495434e-16
