generation,best_score,mean_score,feasible_count,population_size,nominal_peak_mach,adverse_peak_mach,nominal_meets_duration,adverse_meets_duration,mass_margin_kg,body_diameter_m,throat_diameter_m,exit_to_throat_area_ratio,loaded_fuel_mass_kg,ramjet_fuel_fraction,climb_angle_deg,dive_angle_deg,dive_entry_mach
20,-5930.0,-5930.0,24,24,0.5978173555630908,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.0582030935222297,2.5,0.6215129374573279,7.102750106951861,-3.0,0.657388337984851
21,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.12828699989348882,1.180098189804474,2.5,0.6215129374573279,11.35824682048234,-11.932633547465416,0.657388337984851
22,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11532582963988935,1.2402196427278533,2.5,0.45266316415251295,11.35824682048234,-11.104138572551097,0.6128002370265948
23,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.1301566711277131,2.5,0.7090412609050954,11.35824682048234,-3.0,0.6128002370265948
24,-5930.0,-5930.0,24,24,0.504858917146975,0.3256965582643394,False,False,5.300000000000001,0.195,0.11,1.0805112370895826,2.5,0.7358109718963377,3.1127378694010472,-15.526929814392123,0.6128002370265948
25,-5930.0,-5930.0,24,24,0.4944691325093527,0.3452898865916007,False,False,5.300000000000001,0.195,0.13921372218300027,1.1240435655025234,2.5,0.7358109718963377,3.0,-15.526929814392123,0.7421002891064267
26,-5930.0,-5930.0,24,24,0.4303476882936589,0.27044231161634896,False,False,5.300000000000001,0.195,0.15055549163783724,1.1240435655025234,2.5,0.7358109718963377,3.0,-15.526929814392123,0.7421002891064267
27,-5930.0,-5930.0,24,24,0.7273002368824575,0.12469495614017655,False,False,5.300000000000001,0.195,0.13897923102095466,1.1240435655025234,2.5,0.4606170349737951,7.3987516520124785,-15.526929814392123,0.78
28,-5930.0,-5930.0,24,24,0.3258515745867773,0.12469495614017655,False,False,5.300000000000001,0.195,0.13378687755032975,1.3,2.5,0.8,7.3987516520124785,-15.526929814392123,0.6788730261047954
29,-5930.0,-5930.0,24,24,0.5733692020382278,0.12469495614017655,False,False,5.300000000000001,0.195,0.13378687755032975,1.2506961149884277,2.5,0.2,6.276485732881682,-9.502959394020898,0.36689217194053314
30,-5922.4,-5929.683333333333,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
31,-5922.4,-5929.683333333333,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
32,-5922.4,-5929.683333333333,24,24,1.0761598537751609,0.608092070367739,False,False,5.300000000000001,0.195,0.1533682896698234,1.1204673152298446,2.5,0.2,3.0,-3.0,0.6780532566075517
